,X,Y,Z
1970,5545106.018999999,7421987.371,191.00147230480002
1971,5545105.899,7421987.131,191.0335603048
1972,5545105.75,7421986.75,190.9521123048
1973,5545105.696,7421986.232000001,190.732064
1974,5545105.581,7421985.592999999,190.1458876952
1975,5545105.437000001,7421984.895,189.836052
1976,5545105.1389999995,7421984.154,189.58635199999998
1977,5545104.779,7421983.4120000005,189.5516883048
1978,5545104.357999999,7421982.57,189.43000830480003
1979,5545103.812000001,7421981.886,189.2407283048
1980,5545103.172,7421981.259,188.9004563048
1981,5545102.469,7421980.752,188.661868
1982,5545101.765,7421980.304,188.2690283048
1983,5545101.03,7421979.815,188.048968
1984,5545100.326,7421979.407000001,187.75651260959998
1985,5545099.526000001,7421979.117000001,187.5759283048
1986,5545098.759,7421978.747,187.410436
1987,5545097.929,7421978.496,187.4220243048
1988,5545097.13,7421978.146000001,187.4375716952
1989,5545096.268999999,7421977.875,187.3780563048
1990,5545095.44,7421977.505,186.8537486096
1991,5545094.549,7421977.1729999995,186.45066400000002
1992,5545093.628,7421976.782000001,185.7764883048
1993,5545092.674,7421976.469,185.3451486096
1994,5545091.722,7421976.0770000005,184.275536
1995,5545090.8,7421975.745,183.4732243048
1996,5545089.878,7421975.413,182.177364
1997,5545088.925,7421975.081,181.549632
1998,5545088.002,7421974.768999999,180.70438830479998
1999,5545087.047,7421974.616,180.2817116952
2000,5545086.091,7421974.443,179.7623513904
2001,5545085.105,7421974.249,179.5014756952
2002,5545084.119,7421974.076,179.07990400000003
2003,5545083.165,7421973.783,178.8595513904
2004,5545082.212,7421973.491,178.7162473904
2005,5545081.29,7421973.119,178.6488923048
2006,5545080.431,7421972.708,178.50793199999998
2007,5545079.727000001,7421972.22,178.3838116952
2008,5545079.117000001,7421971.714,178.14047691439998
2009,5545078.755,7421971.092,177.9978153904
2010,5545078.392999999,7421970.47,177.83932308560003
2011,5545078.187999999,7421969.71,177.728
2012,5545077.828,7421968.969,177.61576678080002
2013,5545077.655,7421968.13,177.5117769144
2014,5545077.3270000005,7421967.308999999,176.365836
2015,5545077.185,7421966.4120000005,175.2471590856
2016,5545076.982000001,7421965.533,173.77611089520002
2017,5545076.902000001,7421964.616,173.53735180959998
2018,5545076.823,7421963.74,173.836520724
2019,5545076.836,7421962.784,174.0192364192
2020,5545076.88,7421961.8889999995,174.6288465904
2021,5545076.956,7421960.935,175.1588716952
2022,5545077.0,7421960.04,175.8965950856
2023,5545077.045,7421959.046,176.2276153904
2024,5545077.058999999,7421958.131,176.7368950856
2025,5545077.043,7421957.095,176.89672830479998
2026,5545076.932999999,7421956.137999999,177.02075630480002
2027,5545076.887,7421955.083,177.1137923048
2028,5545076.685,7421954.085,177.3901590856
2029,5545076.6389999995,7421952.99,177.658836
2030,5545076.469,7421951.9520000005,178.2076332192
2031,5545076.3610000005,7421950.856000001,178.587932
2032,5545076.129,7421949.8379999995,179.22430769519997
2033,5545075.927999999,7421948.82,179.78083969519997
2034,5545075.602000001,7421947.84,180.37240000000003
2035,5545075.368,7421946.901000001,180.64357939040002
2036,5545075.103999999,7421945.962,180.8126153904
2037,5545074.87,7421945.062999999,180.7770923048
2038,5545074.666,7421944.183999999,180.68544739040001
2039,5545074.431,7421943.364,180.6010076952
2040,5545074.227000001,7421942.565,180.434568
2041,5545074.052,7421941.807,180.2993076952
2042,5545073.908,7421941.068,180.05116799999996
2043,5545073.703,7421940.348999999,179.8572923048
2044,5545073.497,7421939.649,179.5505473904
2045,5545073.259,7421938.989,179.340332
2046,5545073.021000001,7421938.329,179.008596
2047,5545072.813999999,7421937.688999999,178.8094793904
2048,5545072.484,7421937.067000001,178.5220206096
2049,5545072.152000001,7421936.485,178.3303473904
2050,5545071.666,7421935.94,178.0662206096
2051,5545071.117000001,7421935.395,177.9038206096
2052,5545070.539,7421934.77,177.7505769144
2053,5545070.024,7421934.066000001,177.67127691439998
2054,5545069.635,7421933.223999999,177.3402436952
2055,5545069.522999999,7421932.446,176.94150769520002
2056,5545069.626,7421931.751,176.5123409144
2057,5545069.943,7421931.159,176.3257563048
2058,5545070.351,7421930.707,175.90014860960002
2059,5545070.882,7421930.376,176.0765230856
2060,5545071.471,7421930.186000001,176.5952923048
2061,5545072.122,7421930.096,177.355436
2062,5545072.77,7421930.125,177.4219950856
2063,5545073.511,7421930.176,177.4727076952
2064,5545074.282000001,7421930.267000001,177.5963307808
2065,5545075.146000001,7421930.339,177.617264
2066,5545076.072000001,7421930.4120000005,177.7515793904
2067,5545076.999,7421930.445,177.83147691439999
2068,5545077.9860000005,7421930.539,177.97373599999997
2069,5545079.005,7421930.634,178.1577126096
2070,5545080.054,7421930.728999999,178.299668
2071,5545081.102999999,7421930.824,178.4345756952
2072,5545082.182,7421930.999,178.64973969520003
2073,5545083.293,7421931.094,178.7793473904
2074,5545084.372,7421931.289,178.899732
2075,5545085.5139999995,7421931.346,178.848496
2076,5545086.625,7421931.462,178.766164
2077,5545087.7979999995,7421931.538,178.63399230480002
2078,5545088.971,7421931.595,178.5128243048
2079,5545090.143999999,7421931.692000001,178.5230153904
2080,5545091.318,7421931.728999999,178.5358603048
2081,5545092.522000001,7421931.826,178.6485833904
2082,5545093.696,7421931.802999999,178.91046799999998
2083,5545094.839,7421931.86,179.137768
2084,5545095.982999999,7421931.777000001,179.4012923048
2085,5545097.127,7421931.754,179.4010923048
2086,5545098.209,7421931.71,183.8055563048
2087,5545099.321,7421931.706,183.8433283048
2088,5545100.435,7421931.602999999,183.64171169519997
2089,5545101.517000001,7421931.619,183.3487076952
2090,5545102.63,7421931.556,182.0868806096
2091,5545103.71,7421931.631,181.277964
2092,5545104.792,7421931.627,180.15695630480002
2093,5545105.872,7421931.762,179.8421563048
2094,5545106.92,7421931.877,179.52102060960001
2095,5545108.0,7421932.032000001,179.260536
2096,5545109.017000001,7421932.186000001,179.1372153904
2097,5545110.063999999,7421932.42,179.23860000000002
2098,5545111.05,7421932.634,179.6863603048
2099,5545112.065,7421932.987000001,179.4560563048
2100,5545112.9860000005,7421933.357999999,180.1903793904
2101,5545113.937000001,7421933.83,180.6006603048
2102,5545114.826,7421934.36,181.0734436952
2103,5545115.745,7421934.891,181.4627923048
2104,5545116.664,7421935.402000001,181.430664
2105,5545117.584,7421935.913,181.41767569520002
2106,5545118.472,7421936.444,181.42621660959998
2107,5545119.331,7421936.874,181.4150283048
2108,5545120.161,7421937.165,181.41102830480003
2109,5545120.931,7421937.395,181.380604
2110,5545121.4520000005,7421937.661,181.3057526096
2111,5545121.881,7421937.906,181.2671716952
2112,5545122.217,7421938.17,181.2207563048
2113,5545122.615,7421938.435,181.1842283048
2114,5545123.012999999,7421938.699,181.1640436952
2115,5545123.379,7421938.982999999,181.1443526096
2116,5545123.808999999,7421939.187999999,181.125364
2117,5545124.239,7421939.353999999,181.1005846096
2118,5545124.576,7421939.557999999,181.080496
2119,5545124.913,7421939.762,181.066504
2120,5545125.219,7421939.945,181.0377243048
2121,5545125.496,7421940.029,181.0156883048
2122,5545125.743,7421940.072000001,180.969268
2123,5545125.959,7421940.115,180.9612716952
2124,5545126.143999999,7421940.137999999,180.95382830480003
2125,5545126.329,7421940.141,180.9521793904
2126,5545126.484,7421940.083,180.951732
2127,5545126.64,7421940.006,180.947632
2128,5545126.765,7421939.927999999,180.95417939040001
