,X,Y,Z
1,5545275.579,7421916.743,171.94272350480003
2,5545276.5770000005,7421916.101,171.1273818288
3,5545277.759,7421915.581,170.5164409144
4,5545278.757999999,7421914.879,170.481153524
5,5545279.818,7421914.217999999,170.252064
6,5545280.726,7421913.455,169.862461524
7,5545281.664,7421912.652000001,169.2551178288
8,5545282.572000001,7421911.85,168.9804458288
9,5545283.419,7421910.9860000005,168.9917923048
10,5545284.357000001,7421910.223999999,168.9872409144
11,5545285.174,7421909.34,168.9794923048
12,5545286.05,7421908.557,168.96924860960002
13,5545286.835,7421907.693,168.959261524
14,5545287.742000001,7421906.95,168.9403206096
15,5545288.557999999,7421906.126,168.92822830479997
16,5545289.403,7421905.342,168.9666049144
17,5545290.31,7421904.598999999,169.0629381336
18,5545291.156,7421903.815,169.1649332192
19,5545292.032000001,7421903.052,169.174264
20,5545292.909,7421902.288,169.16697691439998
21,5545293.785,7421901.565,169.14369721920002
22,5545294.691000001,7421900.881,169.1321049144
23,5545295.717,7421900.399,169.12891013360002
24,5545296.7129999995,7421899.936000001,169.1173178288
25,5545297.892000001,7421899.615,169.05455352400003
26,5545298.918,7421899.172,169.0298283048
27,5545300.038,7421898.671,168.98825630480002
28,5545301.035,7421898.068,168.98701782880002
29,5545301.972,7421897.386,168.97128182880002
30,5545302.847999999,7421896.6620000005,168.9599381336
31,5545303.663,7421895.897999999,168.96144860959998
32,5545304.509,7421895.094,168.9833458288
33,5545305.324,7421894.27,168.9150923048
34,5545306.14,7421893.426,168.89120000000003
35,5545306.924,7421892.602000001,168.82174860959998
36,5545307.74,7421891.778,168.7686381336
37,5545308.554,7421891.0139999995,168.72857413359998
38,5545309.43,7421890.31,168.6858381336
39,5545310.336,7421889.627,168.6904409144
40,5545311.181,7421888.903,168.70812552400002
41,5545312.086,7421888.279,168.82724860960002
42,5545312.929,7421887.654,168.9605206096
43,5545313.925,7421887.211,169.0914206096
44,5545314.828,7421886.747,169.1759178288
45,5545315.823,7421886.302999999,169.2799458288
46,5545316.757999999,7421885.76,169.35719999999998
47,5545317.723999999,7421885.197000001,169.428953524
48,5545318.659,7421884.6729999995,169.4291
49,5545319.594,7421884.11,169.3758769144
50,5545320.498,7421883.546,169.36758460960002
51,5545321.31,7421882.98,169.4212101336
52,5545322.276000001,7421882.437000001,169.493753524
53,5545323.149,7421881.873,169.62037413360002
54,5545324.086,7421881.19,169.6747846096
55,5545324.931,7421880.466,169.713661524
56,5545325.685,7421879.641,169.7057126096
57,5545326.409,7421878.716,169.6901846096
58,5545326.824,7421877.767000001,169.6149692192
59,5545327.272000001,7421876.719,169.521489524
60,5545327.41,7421875.726,169.4225563048
61,5545327.457,7421874.612000001,169.3355101336
62,5545327.38,7421873.576,169.23447413359997
63,5545327.117000001,7421872.557,169.2287769144
64,5545326.76,7421871.5770000005,169.277453524
65,5545325.61,7421869.948,170.202689524
66,5545324.937999999,7421869.3610000005,170.8155458288
67,5545324.143999999,7421868.752,171.0945126096
68,5545323.347,7421868.283,171.424689524
69,5545322.488,7421867.9120000005,171.8138923048
70,5545320.794,7421867.509,172.49985950479999
71,5545319.9,7421867.377,172.5917441144
72,5545319.035,7421867.364,172.526292724
73,5545318.137999999,7421867.391,172.55931089519999
74,5545317.179,7421867.496,172.45748502880002
75,5545316.25,7421867.642000001,172.0285158096
76,5545315.227999999,7421867.766,171.76161782879998
77,5545314.142999999,7421868.009,171.597525524
78,5545313.275,7421868.196,171.7305409144
79,5545312.282000001,7421868.46,171.855953524
80,5545311.289,7421868.7639999995,171.84767211439998
81,5545310.296,7421869.068,171.8401741336
82,5545309.364,7421869.432,171.7874486096
83,5545308.369,7421869.836,171.7280769144
84,5545307.436000001,7421870.22,171.6766332192
85,5545306.411,7421870.602999999,171.5382101336
86,5545305.387,7421870.907000001,171.5278741336
87,5545304.392000001,7421871.33,171.5738818288
88,5545303.337,7421871.653,171.6958692192
89,5545302.341,7421872.096,171.8061381336
90,5545301.223999999,7421872.397999999,171.8716923048
91,5545300.198,7421872.841,171.9852955048
92,5545299.081,7421873.182999999,171.9763388952
93,5545297.994,7421873.565,171.9695518096
