X,Y,H
5545198.8549,7422033.1278,173.3318364192
5545199.4355,7422032.2955,173.503928724
5545199.9918,7422031.4611,173.5930672
5545201.1112,7422030.5818,174.69687980959998
5545201.5977,7422029.7738,174.823856724
5545202.0068,7422028.9609,174.78315672399998
5545202.4043,7422028.1913,174.9084748952
5545202.7727,7422027.4757,175.0350465904
5545203.115,7422026.8228,175.2016312
5545203.4433,7422026.2377,175.11058502880002
5545203.8068,7422025.6895,174.9569955048
5545204.2702,7422025.1372,174.9935312
5545204.6474,7422024.596,174.8508158096
5545205.1635,7422024.0092,174.6284672
5545205.6009,7422023.4414,174.5388235048
5545206.0349,7422022.8671,174.6872235048
5545206.4308,7422022.2862,174.7405955048
5545206.5867,7422021.7426,175.0881595048
5545206.6493,7422021.0975,175.1273004192
5545206.5515,7422020.5291,175.14207489519998
5545206.338,7422019.8194,175.0628850288
5545206.0858,7422019.1901,175.2198388952
5545205.6513,7422018.4687,175.5694081144
5545205.1914,7422017.8445,175.602728724
5545204.5573,7422017.1155,175.7047158096
5545203.9257,7422016.4614,176.2955672
5545203.224,7422015.657,176.69841089520003
5545202.5541,7422014.9302,176.8076441144
5545201.9165,7422014.0975,177.3297388952
5545201.3566,7422013.3366,177.3109923048
5545200.906,7422012.4196,189.3602716952
5545200.4581,7422011.6119,189.7383283048
5545200.0369,7422010.6794,189.9206603048
5545199.6005,7422009.8522,189.8932436952
5545199.1447,7422008.9163,194.440904
5545198.7328,7422008.0479,194.449116
5545198.2793,7422007.0794,194.395432
5545197.869,7422006.1832,194.33061230479998
5545197.4006,7422005.2096,194.24912
5545197.0028,7422004.2719,194.2225603048
5545196.478,7422003.2723,194.124216
5545196.0256,7422002.3362,194.124716
5545195.441,7422001.356,194.0609443048
5545194.8967,7422000.445,193.922884
5545194.2866,7421999.5182,193.89035199999998
5545193.6723,7421998.6553,193.8706283048
5545193.0853,7421997.7854,193.87068000000002
5545192.4282,7421997.0247,193.870984
5545191.8476,7421996.3169,193.8911123048
5545191.1214,7421995.6308,193.8756716952
5545190.4789,7421995.032,193.96518
5545189.7274,7421994.3699,193.9463763048
5545189.1313,7421993.7559,193.9598283048
5545188.4521,7421993.0752,193.9099876952
5545187.9038,7421992.4131,193.908296
5545187.2351,7421991.6527,193.8527283048
5545186.6585,7421990.9136,193.84175199999999
5545185.9656,7421990.1285,193.7354923048
5545185.3961,7421989.327,193.73487169519998
5545184.756,7421988.5111,193.637268
5545184.1997,7421987.6363,193.52185200000002
5545183.6994,7421986.7445,193.345664
5545183.2369,7421985.8165,193.107268
5545182.7364,7421984.9161,192.611404
5545182.0722,7421984.0725,192.127568
5545181.5115,7421983.1809,191.619448
5545180.828,7421982.315,191.319348
5545180.2438,7421981.4277,191.06122430480002
5545179.5123,7421980.6067,190.59608
5545178.8789,7421979.7683,190.107696
5545178.0997,7421978.9665,189.25065260960002
5545177.4484,7421978.1021,189.0013126096
5545176.6644,7421977.2732,189.156836
5545175.9415,7421976.412,189.4751563048
5545175.127,7421975.5851,189.8892486096
5545174.3566,7421974.7143,189.62449230480001
5545173.4507,7421973.9043,189.1186923048
5545172.6412,7421973.0317,188.93100769519998
5545171.7566,7421972.1466,188.6592923048
5545171.0596,7421971.1527,188.2443076952
5545170.3647,7421970.1654,187.39162430480002
5545169.7515,7421969.1249,186.27028830479998
5545168.9284,7421968.1689,185.6396806096
5545168.2115,7421967.1735,185.05676799999998
5545167.3328,7421966.2507,184.69799600000002
5545166.5985,7421965.2524,184.21693599999998
5545165.7347,7421964.3383,183.667896
5545165.0013,7421963.3751,183.2057126096
5545164.1307,7421962.5,183.19716400000001
5545163.4149,7421961.5688,183.22020769519997
5545162.5566,7421960.685,183.2774243048
5545161.8082,7421959.8087,183.288
5545160.9629,7421958.9295,183.220304
5545160.1829,7421958.1101,183.5411923048
5545159.353,7421957.24,183.6562716952
5545158.5425,7421956.4561,183.5717806096
5545157.7186,7421955.5759,183.7203153904
5545156.9016,7421954.81,183.715296
5545156.0388,7421953.9863,183.7320603048
5545155.2007,7421953.2774,183.1143846096
5545154.3171,7421952.4946,182.926296
5545153.4705,7421951.7833,181.99116800000002
5545152.5759,7421951.053,181.99790000000002
5545151.7253,7421950.3992,181.99372830480002
5545150.8331,7421949.7153,182.02638830479998
5545149.9516,7421949.082,181.91906030479998
5545149.041,7421948.4879,181.913704
5545148.1404,7421947.8599,181.312064
5545147.225,7421947.2988,181.0205923048
5545146.3261,7421946.6441,180.5805473904
5545145.4042,7421946.0606,180.09824860959998
