X	Y	H
5545159.4688	7422056.6431	176.7359846096
5545160.2319	7422057.1398	176.5414049144
5545161.1065	7422057.5973	176.3534769144
5545161.9392	7422058.1193	176.124628724
5545162.9011	7422058.5059	175.7468748952
5545163.8268	7422058.9898	175.3808032
5545164.7986	7422059.3801	174.9926644192
5545165.7906	7422059.7184	174.8515312
5545166.7802	7422060.0019	174.723928724
5545167.8102	7422060.2549	174.674020724
5545168.7856	7422060.4251	174.64931089520002
5545169.7944	7422060.5276	174.5831748952
5545170.8059	7422060.5973	174.42152872399998
5545171.8416	7422060.5561	174.28873119999997
5545172.8498	7422060.6085	174.19930811440003
5545173.8859	7422060.6845	174.0377108952
5545174.8519	7422060.7591	174.09193119999998
5545175.886	7422060.6449	174.24330041919998
5545176.9509	7422060.6502	174.0075955048
5545178.0475	7422060.5828	173.66123119999997
5545179.1203	7422060.5228	173.2745364192
5545180.2143	7422060.6173	173.07992072400003
5545181.2898	7422060.6705	172.9128364192
5545182.3778	7422060.8079	172.72177211439998
5545183.5011	7422060.8956	172.44000811439997
5545184.5828	7422061.0375	172.16674659039998
5545185.7218	7422061.0723	171.61967691439997
5545186.8162	7422061.2568	171.0101381336
5545187.9537	7422061.3457	170.56502552400002
5545189.0388	7422061.5257	170.4236178288
5545190.1899	7422061.614	170.3380101336
5545191.2696	7422061.8159	170.2543126096
5545192.4242	7422061.9249	170.1850923048
5545193.5226	7422062.1549	170.07639999999998
5545194.6831	7422062.2441	170.1100126096
5545195.781	7422062.3996	170.040653524
5545196.956	7422062.3991	169.8920178288
5545198.082	7422062.4572	169.7564049144
5545199.2647	7422062.4908	169.5001846096
5545200.4194	7422062.5439	169.3437332192
5545201.6092	7422062.5631	169.1490332192
5545275.9849	7421956.0668	170.246389524
5545276.1114	7421954.9597	170.2144
5545276.0939	7421953.9028	170.1955049144
5545276.1096	7421952.865	170.212661524
5545275.9959	7421951.8751	170.2157972192
5545275.7472	7421950.3482	170.2387818288
5545275.5831	7421949.893	170.26815630480002
5545275.2805	7421949.0009	170.3405178288
5545274.9534	7421948.1568	170.3385126096
5545274.5932	7421947.3455	170.358161524
5545274.1602	7421946.4856	170.33440000000002
5545273.6151	7421945.6204	170.31462060959998
5545272.9334	7421945.1137	170.3044332192
5545272.6295	7421944.7936	170.23976921919999
5545271.9805	7421944.6569	170.2375846096
5545271.3829	7421944.537	170.18099721919998
5545270.8332	7421944.4304	170.19794860960002
5545270.2998	7421944.3295	170.22047691440002
5545269.742	7421944.2883	170.2445206096
5545269.1962	7421944.262	170.2430206096
5545268.689	7421944.2177	170.29122830480003
5545268.1887	7421944.2488	170.4832126096
5545267.5736	7421944.3545	170.771861524
5545266.9249	7421944.6835	170.8053049144
5545266.275	7421945.1246	170.8828923048
5545265.6342	7421945.7625	170.8602101336
5545264.9463	7421946.3684	170.66357691439998
5545264.2796	7421947.12	170.8545101336
5545263.5335	7421947.8071	170.884389524
5545262.7451	7421948.526	170.9390563048
5545261.9204	7421949.249	170.8565972192
5545261.0762	7421949.9514	170.7270923048
5545260.3091	7421950.7375	170.53176152400002
