X	Y	Z
5545326.409	7421878.716	169.6901846096
5545326.824	7421877.767000001	169.6149692192
5545327.272000001	7421876.719	169.521489524
5545327.41	7421875.726	169.4225563048
5545327.457	7421874.612000001	169.3355101336
5545327.38	7421873.576	169.23447413359997
5545327.117000001	7421872.557	169.2287769144
5545326.76	7421871.5770000005	169.277453524
5545325.61	7421869.948	170.202689524
5545324.937999999	7421869.3610000005	170.8155458288
5545324.143999999	7421868.752	171.0945126096
5545323.347	7421868.283	171.424689524
5545322.488	7421867.9120000005	171.8138923048
5545320.794	7421867.509	172.49985950479999
5545319.9	7421867.377	172.5917441144
5545319.035	7421867.364	172.526292724
5545318.137999999	7421867.391	172.55931089519999
5545317.179	7421867.496	172.45748502880002
5545316.25	7421867.642000001	172.0285158096
5545315.227999999	7421867.766	171.76161782879998
5545314.142999999	7421868.009	171.597525524
5545313.275	7421868.196	171.7305409144
5545312.282000001	7421868.46	171.855953524
5545311.289	7421868.7639999995	171.84767211439998
5545310.296	7421869.068	171.8401741336
5545309.364	7421869.432	171.7874486096
5545308.369	7421869.836	171.7280769144
5545307.436000001	7421870.22	171.6766332192
5545306.411	7421870.602999999	171.5382101336
5545305.387	7421870.907000001	171.5278741336
5545304.392000001	7421871.33	171.5738818288
5545303.337	7421871.653	171.6958692192
5545302.341	7421872.096	171.8061381336
5545301.223999999	7421872.397999999	171.8716923048
5545300.198	7421872.841	171.9852955048
5545299.081	7421873.182999999	171.9763388952
5545297.994	7421873.565	171.9695518096
5545296.906	7421873.987000001	171.9281235048
5545295.788	7421874.3889999995	171.87042072399998
5545294.791	7421874.931	171.7599206096
5545293.732000001	7421875.512999999	171.58428182880002
5545292.766	7421876.056	171.4275381336
5545291.768999999	7421876.658	171.1230818288
5545290.802	7421877.241	170.8976332192
5545289.835	7421877.884	170.475461524
5545288.807	7421878.466	170.3182692192
5545287.9	7421879.188999999	169.9993206096
5545286.84	7421879.811000001	169.6650972192
5545285.933999999	7421880.5139999995	169.2124846096
5545284.965	7421881.276000001	168.883761524
5545284.027000001	7421881.999	168.73129999999998
5545283.058999999	7421882.741	168.662253524
5545282.122	7421883.384	168.5887049144
5545281.186000001	7421884.027000001	168.5803563048
5545280.158	7421884.589	168.612289524
5545279.223999999	7421885.092999999	168.6651563048
5545278.166	7421885.575	168.8026692192
5545277.2020000005	7421885.999	168.9119923048
5545276.175	7421886.461	169.0385563048
5545275.18	7421886.905	169.09267413359998
5545274.154	7421887.307999999	169.0971692192
5545273.097999999	7421887.69	169.0734409144
5545272.103999999	7421888.054	168.9649563048
5545271.017999999	7421888.396000001	168.85308182880001
5545270.055	7421888.74	168.697525524
5545268.967999999	7421889.102999999	168.6424126096
5545267.943	7421889.426	168.6638101336
5545266.949	7421889.829	168.6703486096
5545265.924	7421890.1729999995	168.6659563048
5545264.96	7421890.5770000005	168.62827691439998
5545263.936000001	7421890.92	168.5947486096
5545263.034	7421891.305	168.59734860959998
5545262.07	7421891.728999999	168.626225524
5545261.168	7421892.113	168.6712
5545260.3270000005	7421892.598999999	168.838289524
5545259.425	7421892.984	169.0413049144
5545258.614	7421893.489	169.2960332192
5545257.802999999	7421894.035	169.408964
5545257.052999999	7421894.601	169.52084582880002
5545256.149	7421895.165	169.812989524
5545255.307	7421895.67	169.8494846096
5545254.402000001	7421896.274	169.7209049144
5545253.498	7421896.7979999995	169.7286101336
5545252.624	7421897.442000001	170.12419721920003
