	X	Y	H
2015_1241	5545094.8914	7421930.9668	167.4755381336
2015_1242	5545093.8525	7421930.4832	167.311961524
2015_1243	5545092.7863	7421930.0508	167.10434582879998
2015_1244	5545091.72	7421929.5396	167.5899563048
2015_1245	5545090.6522	7421929.1281	167.4452458288
2015_1246	5545089.5433	7421928.6693	167.25561782879998
2015_1247	5545088.4803	7421928.2992	167.2733101336
2015_1248	5545087.343	7421927.866	167.2305332192
2015_1249	5545086.2328	7421927.6293	167.1137
2015_1250	5545084.9931	7421927.46	167.5209283048
2015_1251	5545083.7984	7421927.3344	168.0866486096
2015_1252	5545082.5227	7421927.2915	168.4039923048
2015_1253	5545081.3076	7421927.2098	168.2828563048
2015_1254	5545080.0065	7421927.167	168.11791260959998
2015_1255	5545078.7812	7421927.0965	168.14168182880002
2015_1256	5545077.4756	7421927.0354	167.7392458288
2015_1257	5545076.2263	7421926.9911	167.0531923048
2015_1258	5545074.9092	7421926.8974	166.84082552400002
2015_1259	5545073.6745	7421926.8314	167.0179563048
2015_1260	5545072.3393	7421926.7045	167.22141782879999
2015_1261	5545071.101	7421926.6364	167.22451260960003
2015_1262	5545069.7718	7421926.5218	167.4733486096
2015_1263	5545068.5376	7421926.4125	168.643489524
2015_1264	5545067.2016	7421926.3174	169.281961524
2015_1265	5545065.962	7421926.2285	169.5813206096
2015_1266	5545064.6386	7421926.0019	169.9926458288
2015_1267	5545063.4569	7421925.8423	170.4631923048
2015_1268	5545062.3073	7421925.4983	171.0754818288
2015_1269	5545061.2018	7421925.1724	171.02497691439999
2015_1270	5545060.1169	7421924.771	179.7190486096
2015_1271	5545059.0803	7421924.319	175.6255409144
2015_1272	5545058.0658	7421923.859	179.9960716952
2015_1273	5545056.963	7421923.4453	177.6580873904
2015_1274	5545055.9124	7421923.044	177.8729230856
2015_1275	5545054.775	7421922.6281	178.1008667808
2015_1276	5545053.6849	7421922.2408	178.29115908560001
2015_1277	5545052.5253	7421921.8027	178.47738460960002
2015_1278	5545051.4206	7421921.3985	178.6363950856
2015_1279	5545050.2605	7421921.0563	178.7364206096
2015_1280	5545049.139	7421920.6824	178.8097206096
2015_1281	5545047.962	7421920.3299	178.87018460960002
2015_1282	5545046.8534	7421919.988	178.8437049144
2015_1283	5545045.672	7421919.6943	178.8123206096
2015_1284	5545044.5293	7421919.3673	178.9218950856
2015_1285	5545043.3322	7421919.1269	178.9503793904
2015_1286	5545042.1601	7421918.8305	179.0898873904
2015_1287	5545040.9406	7421918.7128	179.0923307808
2015_1288	5545039.7652	7421918.5104	178.96596399999999
2015_1289	5545038.5392	7421918.4532	178.91298739040002
2015_1290	5545037.3569	7421918.3109	178.72277169519998
2015_1291	5545036.1336	7421918.2969	178.67380000000003
2015_1292	5545034.9409	7421918.2109	179.1791716952
2015_1293	5545033.7113	7421918.2674	179.2588126096
2015_1294	5545032.5631	7421918.3153	179.1273126096
2015_1295	5545031.3322	7421918.3967	179.3793206096
2015_1296	5545030.198	7421918.516	180.01223599999997
2015_1297	5545029.0406	7421918.6188	180.49856799999998
2015_1298	5545027.9596	7421918.7203	180.56502830480002
2015_1299	5545026.9265	7421918.8216	180.188664
2015_1300	5545025.8525	7421918.9286	180.3178396952
