	X	Y	H
2015_1656	5545165.072	7422039.7509	169.33894860959998
2015_1657	5545164.285	7422040.7101	169.3556458288
2015_1658	5545163.5062	7422041.6095	169.358989524
2015_1659	5545162.7507	7422042.5391	169.3928741336
2015_1660	5545161.9547	7422043.4065	169.38912060959998
2015_1661	5545161.2203	7422044.3514	169.3925178288
2015_1662	5545160.3903	7422045.196	169.4092049144
2015_1663	5545159.5701	7422046.0703	169.463089524
2015_1664	5545158.7378	7422046.9322	169.4535769144
2015_1665	5545157.8735	7422047.7596	169.4746178288
2015_1666	5545157.0938	7422048.7019	169.4659206096
2015_1667	5545156.2137	7422049.5388	169.45033321920002
2015_1668	5545155.4483	7422050.4111	169.39986399999998
2015_1669	5545154.6798	7422051.2794	169.33964860959998
2015_1670	5545154.0703	7422052.2412	169.3313126096
2015_1671	5545153.5276	7422053.2221	169.3211206096
2015_1672	5545152.9465	7422054.1491	169.31891782879998
2015_1673	5545152.3183	7422054.9303	169.3392126096
2015_1674	5545151.6701	7422055.6158	169.3608049144
2015_1675	5545150.9716	7422056.2051	169.4161563048
2015_1676	5545150.2784	7422056.6993	169.476364
2015_1677	5545149.5279	7422057.2103	169.42194091439998
2015_1678	5545148.7985	7422057.5887	169.37077691439998
2015_1679	5545148.0119	7422057.8907	169.4078206096
2015_1680	5545147.258	7422058.1828	169.4248
2015_1681	5545146.4843	7422058.3589	169.4957126096
2015_1682	5545145.6803	7422058.4957	169.5471178288
2015_1683	5545144.8758	7422058.5955	169.50419721920002
2015_1684	5545144.0371	7422058.5157	169.57404860960003
2015_1685	5545143.1669	7422058.4911	169.6504458288
2015_1686	5545142.3489	7422058.2724	169.5693101336
2015_1687	5545141.5285	7422058.0249	169.5074381336
2015_1688	5545140.7202	7422057.7211	169.58069999999998
2015_1689	5545140.0442	7422057.2949	169.61467413359998
2015_1690	5545139.2503	7422056.904	169.754289524
2015_1691	5545138.5528	7422056.4647	169.8496741336
2015_1692	5545137.8297	7422056.0056	169.7672206096
2015_1693	5545137.1031	7422055.5787	169.8159458288
2015_1694	5545136.6402	7422055.0303	169.9428126096
2015_1695	5545136.2663	7422054.4461	170.1114
2015_1696	5545136.0247	7422053.8052	170.39835352400002
2015_1697	5545135.7627	7422053.1328	170.43864860960002
2015_1698	5545135.4235	7422052.4336	170.3011741336
2015_1699	5545135.0827	7422051.7756	170.493753524
2015_1700	5545134.7344	7422051.1973	170.5783923048
2015_1701	5545134.4392	7422050.696	171.22427691439998
2015_1702	5545134.1573	7422050.3379	171.95639721920003
2015_1703	5545133.8759	7422050.0279	172.2938692192
2015_1704	5545133.6607	7422049.7357	172.3043692192
2015_1705	5545133.4561	7422049.4453	172.3318458288
2015_1706	5545133.2705	7422049.1718	172.2831178288
2015_1707	5545133.1228	7422048.9002	179.2305692192
2015_1708	5545133.057	7422048.716	179.47999721920002
2015_1709	5545132.9467	7422048.6882	179.5920283048
2015_1710	5545132.8169	7422048.5292	179.33735630479998
2015_1711	5545132.7979	7422048.5366	179.6833769144
2015_1712	5545132.865	7422048.5988	180.0381436952
2015_1713	5545133.0436	7422048.5889	180.462668
2015_1714	5545133.2681	7422048.4037	180.79518339039998
2015_1715	5545133.6296	7422048.1483	180.884832
2015_1716	5545133.8989	7422047.8723	181.526068
2015_1717	5545134.3021	7422047.5333	181.4994465904
2015_1718	5545134.2969	7422047.5726	186.9222283048
2015_1719	5545134.2434	7422047.7019	186.3705283048
2015_1720	5545134.1982	7422047.6619	185.338868
2015_1721	5545134.2456	7422047.7081	184.7004206096
2015_1722	5545134.3107	7422047.6391	184.6978166096
2015_1723	5545134.3389	7422047.6205	184.6468206096
2015_1724	5545134.2954	7422047.6501	184.1591883048
2015_1725	5545134.2846	7422047.6499	183.832196
2015_1726	5545134.3132	7422047.6579	183.68128830479998
2015_1727	5545134.3262	7422047.6444	183.9688603048
2015_1728	5545134.3604	7422047.6389	183.17283600000002
2015_1729	5545134.3401	7422047.6353	180.8788883048
2015_1730	5545134.3427	7422047.6448	180.21897569520002
2015_1731	5545134.3208	7422047.6403	179.82697169520003
2015_1732	5545134.3735	7422047.6084	179.3506
2015_1733	5545134.3577	7422047.6194	179.4101
2015_1734	5545134.3414	7422047.6484	179.1673049144
2015_1735	5545134.3014	7422047.641	179.09984860960003
2015_1736	5545134.3379	7422047.6055	179.3310409144
2015_1737	5545134.3537	7422047.5857	179.6933153904
2015_1738	5545134.3714	7422047.5891	179.71425139040002
2015_1739	5545134.4054	7422047.545	179.1982409144
2015_1740	5545134.4713	7422047.5339	179.44873078080002
2015_1741	5545134.409	7422047.5497	179.3654283048
2015_1742	5545134.3823	7422047.5727	179.70985630479998
2015_1743	5545134.4294	7422047.549	180.0742667808
2015_1744	5545134.451	7422047.5387	180.1901833904
2015_1745	5545134.5273	7422047.5453	182.0961833904
2015_1746	5545134.4625	7422047.6418	183.47312060960002
2015_1747	5545134.3732	7422047.7081	183.8938076952
2015_1748	5545134.397	7422047.7027	183.875964
2015_1749	5545134.3787	7422047.6629	183.970764
2015_1750	5545134.4009	7422047.6611	184.0758756952
2015_1751	5545134.4036	7422047.6736	184.1049603048
2015_1752	5545134.3792	7422047.6603	184.04899600000002
2015_1753	5545134.4025	7422047.6779	184.0454563048
2015_1754	5545134.3847	7422047.688	184.1200166096
2015_1755	5545134.4058	7422047.6381	184.0775716952
2015_1756	5545134.4123	7422047.6437	184.1835436952
2015_1757	5545134.4274	7422047.6443	184.2233563048
2015_1758	5545134.4496	7422047.6371	184.0300206096
2015_1759	5545134.4634	7422047.64	184.08862430480002
2015_1760	5545134.4711	7422047.6394	184.1784806096
2015_1761	5545134.4832	7422047.6331	184.2205563048
2015_1762	5545134.5154	7422047.6308	184.611968
2015_1763	5545134.5369	7422047.6337	184.71528460960002
2015_1764	5545134.5588	7422047.6355	184.51104860959998
2015_1765	5545134.3271	7422047.6572	184.1787603048
2015_1766	5545134.2398	7422047.5751	183.663732
2015_1767	5545134.2542	7422047.6233	183.2048243048
2015_1768	5545134.2517	7422047.6103	183.0614436952
2015_1769	5545134.2595	7422047.6285	183.100832
2015_1770	5545134.2686	7422047.6138	183.6533756952
2015_1771	5545134.2858	7422047.624	184.155604
2015_1772	5545134.2869	7422047.627	183.7104436952
2015_1773	5545134.2878	7422047.6329	182.9329716952
2015_1774	5545134.301	7422047.6332	182.75549999999998
2015_1775	5545134.3299	7422047.6438	183.1232153904
2015_1776	5545134.3492	7422047.6553	183.422464
2015_1777	5545134.3696	7422047.6698	183.03277169519998
2015_1778	5545134.389	7422047.6778	182.9677206096
2015_1779	5545134.3999	7422047.6917	182.9570126096
2015_1780	5545134.4259	7422047.7039	182.9694603048
2015_1781	5545134.4402	7422047.73	183.065396
2015_1782	5545134.4531	7422047.7568	183.2804283048
2015_1783	5545134.4734	7422047.7547	183.4093756952
2015_1784	5545134.5093	7422047.7657	183.5223206096
2015_1785	5545134.5529	7422047.7742	183.5293396952
2015_1786	5545134.5792	7422047.7909	183.89751660960002
2015_1787	5545134.6035	7422047.8033	184.2352206096
2015_1788	5545134.6323	7422047.8195	184.8949
2015_1789	5545134.6615	7422047.8341	185.7388923048
2015_1790	5545134.6977	7422047.8478	185.7038243048
2015_1791	5545134.736	7422047.8661	189.1611513904
2015_1792	5545134.7686	7422047.8868	188.9468563048
2015_1793	5545134.8066	7422047.9064	189.2736486096
2015_1794	5545134.8473	7422047.9208	189.06828460960003
2015_1795	5545134.8894	7422047.9406	190.00822830479999
2015_1796	5545134.931	7422047.9592	190.583764
2015_1797	5545134.9761	7422047.9815	191.212648
2015_1798	5545135.0267	7422048.0089	191.691248
2015_1799	5545135.074	7422048.032	192.28716400000002
2015_1800	5545135.1313	7422048.0597	192.9441876952
2015_1801	5545135.1804	7422048.0863	193.6526083048
2015_1802	5545135.2353	7422048.1141	194.5262443048
2015_1803	5545135.2867	7422048.1435	194.80753600000003
2015_1804	5545135.349	7422048.1721	195.087556
2015_1805	5545135.4045	7422048.2037	195.1140316952
2015_1806	5545135.4687	7422048.2314	195.18353969519998
2015_1807	5545135.5334	7422048.2648	195.3078476952
2015_1808	5545135.5989	7422048.2957	195.51226
2015_1809	5545135.6667	7422048.3314	195.374492
2015_1810	5545135.7409	7422048.3667	195.535208
2015_1811	5545135.8141	7422048.3994	195.69436
2015_1812	5545135.8897	7422048.4362	195.74862000000002
2015_1813	5545135.9654	7422048.4756	195.85700400000002
2015_1814	5545136.0433	7422048.5125	195.9475396952
2015_1815	5545136.122	7422048.5637	196.066168
2015_1816	5545136.2059	7422048.601	196.092736
2015_1817	5545136.3735	7422048.5032	196.1851876952
2015_1818	5545136.4581	7422048.5452	196.276876
2015_1819	5545136.5446	7422048.5817	196.3924636952
2015_1820	5545136.6531	7422048.6257	196.4367156952
2015_1821	5545136.7428	7422048.6637	196.5774716952
2015_1822	5545136.8532	7422048.7031	196.68416
2015_1823	5545136.9423	7422048.7485	196.6912476952
2015_1824	5545137.0642	7422048.7775	196.7261716952
