X,Y,H
5545283.9327,7422027.2287,170.8925101336
5545285.1599,7422027.1761,170.8550004192
5545286.3588,7422027.232,170.93043641920002
5545287.6102,7422027.1217,171.23885672400002
5545288.7996,7422027.1936,171.22270041919998
5545290.0564,7422027.1599,171.1887748952
5545291.271,7422027.4086,171.1154721144
5545292.4915,7422027.5082,171.04267489519998
5545293.7457,7422027.7615,170.70042350480003
5545294.933,7422028.0275,170.1835283048
5545296.1952,7422028.3887,169.7975563048
5545297.3604,7422028.7089,169.66680491440002
5545298.6442,7422029.0462,169.4876049144
5545299.842,7422029.3654,169.40012830479998
5545301.108,7422029.6446,169.16427413359997
5545302.3488,7422029.9046,169.1362101336
5545303.58,7422030.1221,169.1331769144
5545304.814,7422030.095,169.1430178288
5545305.9639,7422030.0829,169.16039721919998
5545307.1419,7422029.8228,169.15069721920003
5545308.2228,7422029.5051,169.19232830480001
5545309.4167,7422029.2167,169.19847691439998
5545310.5316,7422028.7649,169.2239101336
5545311.6236,7422028.3693,169.2372563048
5545312.6676,7422027.8149,169.2017818288
5545313.6352,7422027.2891,169.206789524
5545314.5777,7422026.7334,169.1940409144
5545315.4635,7422026.0603,169.1844972192
5545316.3154,7422025.4595,169.20494860960002
5545317.0431,7422024.6787,169.1579972192
5545317.7667,7422023.8921,169.19424091439998
5545318.4255,7422023.0874,169.1757409144
5545319.062,7422022.1883,169.2654409144
5545319.6551,7422021.3703,169.40234860959998
5545320.1744,7422020.4305,169.57652830479998
5545320.7078,7422019.5477,169.6627741336
5545321.1377,7422018.6375,169.86989721920003
5545321.5582,7422017.6625,170.22831013360002
5545321.9526,7422016.7562,170.5056741336
5545322.2784,7422015.7432,170.671461524
5545322.6196,7422014.7993,171.0617798096
5545322.8686,7422013.8147,171.0636672
5545323.1262,7422012.7831,171.0783644192
5545323.3227,7422011.8108,171.10371089519998
5545323.4637,7422010.7411,171.11927211440002
5545323.6461,7422009.7343,171.2042875048
5545323.6938,7422008.6559,171.17647980959998
5545323.8452,7422007.5861,171.1812955048
5545323.9088,7422006.5457,171.11947980960002
5545323.9936,7422005.4324,170.8934465904
5545324.0911,7422004.3912,170.77005672399997
5545324.0829,7422003.2872,170.6162178288
5545324.141,7422002.2062,170.55521013359999
5545324.1276,7422001.1722,170.5152818288
5545324.2468,7422000.0465,170.5028486096
5545324.2661,7421999.0011,170.4734769144
5545324.0844,7421997.9517,170.4340206096
5545323.9465,7421996.8994,170.374353524
5545323.5284,7421995.9825,170.3194563048
5545323.1909,7421994.9788,170.2484381336
5545322.6388,7421994.0784,170.247353524
5545322.1278,7421993.1553,170.235261524
5545321.5365,7421992.2799,170.1928332192
5545320.9024,7421991.4047,170.1495486096
5545320.3134,7421990.5485,170.1800818288
5545319.6412,7421989.6566,170.2286846096
5545319.0992,7421988.7752,170.44956152400002
5545318.6016,7421987.8253,170.72534860960002
5545318.1927,7421986.8712,170.8883441144
5545317.8955,7421985.8602,171.1703465904
5545317.5875,7421984.8546,171.3736721144
5545317.428,7421983.8182,171.4621081144
5545317.2035,7421982.7818,171.5665955048
5545317.1251,7421981.7238,171.58957211440003
5545316.9472,7421980.6597,171.58037489519998
5545316.8852,7421979.58,171.53370811439999
5545316.7309,7421978.4848,171.3635672
5545316.6591,7421977.3884,171.25625672400002
5545316.4402,7421976.2712,171.039092724
5545316.2716,7421975.1801,170.894828724
5545315.9802,7421974.0795,170.7270798096
5545315.732,7421973.0258,170.55585630480002
5545315.3801,7421971.9254,170.249289524
5545315.0118,7421970.9067,170.1480206096
5545314.5995,7421969.8192,170.072564
5545314.1255,7421968.8389,170.049564
5545313.6644,7421967.7907,170.018264
5545313.0533,7421966.887,170.0236692192
5545312.4982,7421965.9335,170.032464
5545311.7965,7421965.0648,170.1367101336
5545311.1824,7421964.1652,170.2287126096
5545310.3733,7421963.363,170.242353524
5545309.636,7421962.5763,170.25029721919998
5545308.7927,7421961.7983,170.24114860959997
5545307.9824,7421961.0754,170.21442060959998
5545307.0972,7421960.334,170.11217691439998
5545306.1896,7421959.6889,170.06757413359998
5545305.296,7421958.999,170.0291769144
5545304.3063,7421958.3859,170.0343283048
5545303.3906,7421957.7855,170.0268923048
5545302.3559,7421957.1936,169.9537178288
5545301.4196,7421956.6398,169.9687049144
5545300.3809,7421956.0307,169.9620332192
5545299.4465,7421955.4505,170.03604860960002
5545298.4253,7421954.8208,170.11821013359997
5545297.5062,7421954.1763,170.17319230479998
5545296.6131,7421953.3752,170.06467413360002
5545295.8323,7421952.532,170.05146399999998
5545295.0219,7421951.6651,170.0170178288
5545294.3313,7421950.7092,170.0568178288
5545293.5595,7421949.837,169.9966458288
5545292.8189,7421948.9015,169.94797413359998
5545292.0922,7421948.0395,169.94042830479998
5545291.3624,7421947.1135,169.97977691440002
5545290.6608,7421946.2626,169.9519846096
5545289.9423,7421945.319,170.05531782879999
5545289.2719,7421944.4446,170.21624860960003
5545288.6475,7421943.4896,170.70847691440002
5545288.0837,7421942.589,171.3085672
5545287.5268,7421941.6456,171.35995672399997
5545287.0387,7421940.6975,171.268092724
5545286.5074,7421939.7656,170.889392724
5545286.0662,7421938.722,170.3595563048
5545285.5322,7421937.8027,170.38648182880002
5545284.9891,7421936.8154,170.39991013359997
5545284.4042,7421935.929,170.33027691439997
5545283.7721,7421935.0845,170.1233563048
5545283.1377,7421934.2665,170.1998178288
5545282.4289,7421933.5433,170.2742692192
5545281.7459,7421932.8514,170.2703178288
5545280.9465,7421932.2527,170.330725524
5545280.1959,7421931.6097,170.55133321920002
5545279.3527,7421931.0215,170.6317741336
5545278.5682,7421930.3495,170.6299769144
5545277.6667,7421929.7991,170.55552552400002
5545276.7888,7421929.242,170.8708178288
5545275.8921,7421928.6577,171.0233798096
5545274.9929,7421928.1424,171.5312158096
5545274.1184,7421927.5514,171.80476720000001
5545273.2164,7421927.0425,172.33518502880003
5545272.4036,7421926.3502,172.583128724
5545271.5774,7421925.6816,172.3541748952
5545270.7889,7421924.9921,172.3266955048
5545270.0217,7421924.3305,172.5848235048
5545269.2322,7421923.6155,172.953120724
5545268.4405,7421922.979,173.0992955048
5545267.588,7421922.4155,173.1085721144
5545266.6747,7421922.0675,173.24643889520001
5545265.7773,7421921.7188,172.909020724
5545264.8645,7421921.6157,172.4863465904
5545263.8865,7421921.3601,172.382756724
5545262.9513,7421921.3173,172.396356724
5545261.9696,7421921.176,172.3830458288
5545260.9797,7421921.1659,183.66257569520002
5545260.0219,7421921.2013,182.89763969519998
5545259.0649,7421921.2768,181.8584
5545258.1595,7421921.508,182.58507169519999
5545257.1788,7421921.6269,183.7646
5545256.2666,7421921.8598,184.282264
5545255.2976,7421921.9823,184.4731923048
5545254.2935,7421922.1509,184.5140206096
5545253.3879,7421922.4843,184.41623600000003
5545252.4124,7421922.7768,184.37031660960002
5545251.5264,7421923.1301,184.3725
5545250.6622,7421923.5546,184.2668283048
5545249.8037,7421924.0066,184.2392603048
5545248.9924,7421924.4667,184.19967169519998
5545248.2814,7421925.1497,184.1138206096
5545247.5819,7421925.7546,184.3806
5545246.962,7421926.566,184.7398603048
5545246.3351,7421927.2924,184.7299716952
5545245.7458,7421928.188,184.6903756952
5545245.1874,7421929.0229,184.6509206096
5545244.5623,7421929.9692,183.9306206096
5545243.8775,7421930.8392,183.67420769519998
5545243.2213,7421931.8121,183.631932
5545242.4405,7421932.7265,183.6575716952
5545241.8265,7421933.7398,183.607396
5545241.0077,7421934.6616,183.65137569520002
5545240.3502,7421935.6683,183.6675806096
5545239.4854,7421936.6085,183.64757169519999
5545238.7665,7421937.5546,183.6603756952
5545237.9369,7421938.5568,183.6676076952
5545237.2209,7421939.4901,183.65013969519998
5545236.4351,7421940.5245,183.5675603048
5545235.697,7421941.4603,183.602864
5545234.9834,7421942.5037,183.5308563048
5545234.2808,7421943.4798,182.908904
5545233.6851,7421944.5235,182.726164
5545233.0909,7421945.5626,183.1318716952
5545232.5757,7421946.5593,182.6793283048
5545232.1417,7421947.6976,182.6728923048
5545231.8021,7421948.7786,179.7320563048
5545231.5048,7421949.9892,177.6726542856
5545231.2153,7421951.1438,177.7918283048
5545230.7672,7421952.2858,178.0898883048
5545230.1703,7421953.3353,177.93183199999999
5545229.5639,7421954.4063,177.8630716952
5545228.9169,7421955.4105,177.97090769519997
5545228.3041,7421956.4257,184.2956473904
5545227.7274,7421957.4114,184.26592430480002
5545227.1565,7421958.3502,184.5256526096
5545226.5723,7421959.1906,184.71282830479998
5545225.9765,7421959.9621,185.133196
5545225.2635,7421960.5078,185.223136
5545224.5659,7421961.0266,185.361996
5545223.7741,7421961.4285,185.495768
5545223.0183,7421961.8519,185.5874526096
5545222.2527,7421962.3005,185.7077716952
5545221.4986,7421962.7982,185.742096
5545220.7829,7421963.2849,185.83763969519998
5545220.0663,7421963.778,185.968896
5545219.418,7421964.2848,186.00281660960002
5545218.73,7421964.8223,186.052632
5545218.1263,7421965.3834,185.8276
5545217.6542,7421966.0543,185.3413486096
5545217.1528,7421966.735,185.3553603048
5545216.7914,7421967.4311,185.144832
5545216.4269,7421968.2182,185.201904
5545216.0805,7421968.9861,185.1448396952
5545215.9778,7421969.8159,184.7212166096
5545215.8288,7421970.6843,185.5475206096
5545215.9202,7421971.5668,186.47875630480002
5545215.9709,7421972.535,187.254748
5545216.2498,7421973.4894,187.58269230480002
5545216.4241,7421974.5649,187.78087630480002
5545216.7238,7421975.6403,188.1532123048
5545216.9048,7421976.7894,188.1439763048
5545217.1103,7421977.9257,188.23596799999999
5545217.3014,7421979.106,188.310364
5545217.3926,7421980.2628,188.39066400000002
5545217.4766,7421981.3745,188.5149243048
5545217.489,7421982.5578,188.4594403048
5545217.5224,7421983.702,188.59526400000001
5545217.454,7421984.8604,188.855848
5545217.3278,7421986.0316,188.8488083048
5545217.0725,7421987.0921,188.664268
5545216.5741,7421988.0799,188.7084
5545216.1017,7421988.987,188.7802206096
5545215.4336,7421989.8978,188.82926799999998
