X,Y,H
5545108.0479,7421932.5135,192.846692
5545107.6766,7421931.8018,192.9088
5545107.2233,7421931.1253,192.9919396952
5545106.7616,7421930.3956,193.114908
5545106.1775,7421929.7235,193.222092
5545105.6759,7421928.9635,193.35670399999998
5545105.0764,7421928.2386,193.415168
5545104.5964,7421927.4547,193.41041569520002
5545104.0269,7421926.6727,193.44899600000002
5545103.6362,7421925.864,193.498112
5545103.1634,7421925.0108,193.56231569520003
5545102.8259,7421924.1662,193.6413716952
5545102.5194,7421923.2862,193.749396
5545102.3001,7421922.4452,193.905452
5545102.1579,7421921.5485,194.0222636952
5545102.0153,7421920.682,194.0595
5545101.9219,7421919.7377,194.072336
5545101.8076,7421918.847999999,194.15838000000002
5545101.7533,7421917.8973,194.15512800000005
5545101.6354,7421916.9946,194.22444000000002
5545101.6148,7421916.0145,194.382636
5545101.4917,7421915.0811,194.524144
5545101.4853,7421914.09,194.338116
5545101.3423,7421913.147000001,194.19351600000002
5545101.3866,7421912.1229,194.11316
5545101.2415,7421911.1469,194.0640476952
5545101.24,7421910.0869,194.0816796952
5545101.0711,7421909.0635,194.17082
5545100.9737,7421907.9974,194.277052
5545100.7694,7421906.9603,194.421108
5545100.5144,7421905.9841,194.560664
5545100.177,7421905.0287,194.63306400000002
5545099.6971,7421904.2282,194.62662799999998
5545099.1926,7421903.5326,194.640712
5545098.5617,7421902.9864,194.716276
5545097.9465,7421902.3976,194.67994000000002
5545097.1917,7421901.8819,194.619936
5545096.4667,7421901.3526,194.513308
5545095.7875,7421900.6982,194.449144
5545095.1494,7421900.0742,194.45399600000002
5545094.5543,7421899.3277,195.086028
5545094.0499,7421898.5962,195.112268
5545093.5359,7421897.8208,195.11750800000002
5545093.0926,7421897.0525,195.05539599999997
5545092.6148,7421896.2752,194.93268
5545092.1704,7421895.4942,194.805716
5545091.7503,7421894.7342,194.79111600000002
5545091.3092,7421893.926,194.788216
5545090.9472,7421893.1526,194.03966
5545090.557999999,7421892.3207,194.02146
5545090.1757,7421891.5072,190.871236
5545089.8817,7421890.6684,190.781052
5545089.4914,7421889.8111,190.56898
5545089.2788,7421888.9549,190.3378283048
5545088.9477,7421888.0602,190.23444800000001
5545088.8224,7421887.1707,190.350764
5545088.5986,7421886.2627,190.768284
5545088.4868,7421885.3316,190.98420399999998
5545088.3602,7421884.4365,190.963916
5545088.2697,7421883.4733,193.768776
5545088.21,7421882.5679,193.911084
5545088.1486,7421881.5926,194.1911
5545088.0756,7421880.6539,194.489912
5545088.1242,7421879.6996,194.74064
5545088.0468,7421878.7241,194.83658000000003
5545088.1686,7421877.7938,194.821596
5545088.1507,7421876.8114,194.777172
5545088.3737,7421875.9097,194.740796
5545088.4437,7421874.9575,194.77193599999998
5545088.6926,7421874.0586,194.81660399999998
5545088.833,7421873.1515,194.844684
5545089.0479,7421872.2488,194.828092
5545089.2237,7421871.3879,194.854272
5545089.4377,7421870.4896,194.825636
5545089.6649,7421869.6549,194.83898799999997
5545089.9204,7421868.7696,194.803
5545090.2156,7421867.9375,194.80949600000002
5545090.5397,7421867.1022,194.856368
5545090.9033,7421866.2546,194.83638000000002
5545091.313999999,7421865.4717,194.831676
5545091.7924,7421864.7319,194.850968
5545092.292,7421864.0225,194.87585199999998
5545092.8722,7421863.3544,194.892936
5545093.4796,7421862.6712,194.91008799999997
5545094.1269,7421861.9994,194.85966
5545094.7661,7421861.322000001,194.83828
5545095.5203,7421860.6018,194.862516
5545096.1056,7421859.8385,194.86696400000002
5545096.6389999995,7421859.0125,194.88181200000002
5545097.0277,7421858.2157,194.86161199999998
5545097.3248,7421857.3646,194.836736
5545097.4254,7421856.621,194.817244
5545097.4127,7421855.8885,194.85727599999998
5545097.2328,7421855.2014,194.890396
5545096.9403,7421854.5753,194.935924
5545096.5737,7421853.8145,194.912584
5545096.1336,7421853.149,194.89000000000001
5545095.6143,7421852.3916,194.87420400000002
5545095.0066,7421851.78,194.88980800000002
5545094.4328,7421851.1734,194.855368
5545093.8313,7421850.6336,194.857816
5545093.2691,7421850.1106,194.922032
5545092.6848,7421849.6252,194.955368
5545092.1226,7421849.1494,194.949316
5545091.5908,7421848.6716,194.96781199999998
5545091.0646,7421848.1976,194.95076
5545090.545,7421847.7391,194.95416400000002
5545090.0368,7421847.2964,194.97110800000002
5545089.5666,7421846.9114,194.963808
5545089.1269,7421846.6314,194.958012
5545088.7384,7421846.4403,194.95721200000003
5545088.3957,7421846.2582,194.956608
5545088.0567,7421846.066000001,194.9728
5545087.7055,7421845.8748,194.990892
5545087.3658,7421845.6673,194.98014
5545087.0503,7421845.4578,194.99518799999998
5545086.7433,7421845.257999999,194.99754000000001
5545086.4505,7421845.0298,195.02252800000002
5545086.1616,7421844.8157,195.026972
5545085.8748,7421844.5958,195.03992
5545085.6017,7421844.3723,195.023732
5545085.342999999,7421844.1401,195.01164
5545085.0739,7421843.8919,195.035276
5545084.8229,7421843.6363,195.044816
5545084.5841,7421843.3569,195.040864
5545084.3284,7421843.0553,195.009332
5545084.0987,7421842.7439,194.97816
5545083.8257,7421842.4561,194.947724
5545083.5055,7421842.3644,194.91799600000002
5545083.0968,7421842.291,194.72921200000002
5545082.5297,7421842.1675,194.464228
5545081.9441,7421841.9493,194.24443200000002
5545081.2012,7421841.6395,194.0781796952
5545080.4991,7421841.3548,193.9769
5545079.682999999,7421840.9845,193.87846
5545078.9068,7421840.6658,193.869576
5545078.0291,7421840.2593,193.8718636952
5545077.1921,7421839.8861,193.8956556952
5545076.2658,7421839.461,193.90623969520001
5545075.3789,7421839.0605,193.869528
5545074.4674,7421838.5726,193.799712
5545073.5544,7421838.132999999,193.7926796952
5545072.6899,7421837.5896,193.75474400000002
5545071.8257,7421837.0759,193.771344
5545071.0335,7421836.5284,193.7657
5545070.3032,7421835.9445,193.77196
5545069.5541,7421835.4504,193.7648556952
5545068.7186,7421835.0354,193.782896
5545067.8888,7421834.6502,193.803976
5545066.9336,7421834.2837,193.836368
5545066.0463,7421833.8651,193.8471156952
5545065.0526,7421833.3383,193.888584
5545064.2441,7421832.756,193.888876
5545063.4281,7421832.0096,193.89941199999998
5545062.8079,7421831.2533,193.952352
5545062.0967,7421830.3588,193.8132476952
5545061.9202,7421829.5176,193.943184
5545061.8544,7421828.776000001,193.9394796952
5545062.022999999,7421828.0221,193.971452
5545062.2979999995,7421827.5031,194.01160399999998
5545062.6967,7421826.916,194.195264
5545063.1952,7421826.4953,194.34186
5545063.7079,7421826.0727,194.60104800000002
5545064.3515,7421825.7401,194.797128
5545064.9432,7421825.3914,194.845672
5545065.647000001,7421825.1615,194.83141999999998
5545066.3468,7421824.919,194.872244
5545067.114,7421824.7619,194.903036
5545067.9235,7421824.6946,194.926432
5545068.7426,7421824.627,194.94552800000002
5545069.6386,7421824.652000001,194.933772
5545070.5236,7421824.624,194.96912000000003
5545071.4801,7421824.6719,194.93506
5545072.3907,7421824.6226,194.968548
5545073.3857,7421824.6798,194.963092
5545074.3375,7421824.6612,194.964844
5545075.2719,7421824.4691,194.9482
5545076.1706,7421824.2792,194.946548
5545077.0279,7421823.9073,195.000836
5545077.9245,7421823.5402,194.94410399999998
5545078.7635,7421823.0555,194.958008
5545079.6593,7421822.5781,195.00518399999999
5545080.4637,7421822.0258,194.928452
5545081.3133,7421821.4391,194.9644
5545082.0302,7421820.8442,194.96004399999998
5545082.5836,7421820.0864,194.956096
5545083.1334,7421819.3877,194.97884399999998
5545083.6549,7421818.566000001,194.98203999999998
5545084.2708,7421817.8813,195.026916
5545084.909,7421817.1303,194.971876
5545085.6451,7421816.5518,194.98264
5545086.3802,7421815.8876,194.99588799999998
5545087.1396,7421815.3217,194.995628
5545087.9696,7421814.8372,194.98316
5545088.765,7421814.2584,195.048988
