X	Y	H
5545171.3503	7421981.1347	185.6901846096
5545171.6152	7421980.3468	186.3213756952
5545171.997	7421979.5655	186.4873126096
5545172.3244	7421978.7898	186.2937883048
5545172.7879	7421978.0181	186.3011846096
5545173.1871	7421977.2276	186.5444283048
5545173.6886	7421976.3949	187.040252
5545174.0897	7421975.5134	187.40536400000002
5545174.4394	7421974.57	187.02400830480002
5545174.5746	7421973.6029	185.8105603048
5545174.7635	7421972.6029	181.5951243048
5545174.7019	7421971.6098	181.4028513904
5545174.7664	7421970.5731	181.8178806096
5545174.5985	7421969.5534	181.83577169519998
5545174.5595	7421968.484	182.2060756952
5545174.3485	7421967.4183	180.74872830479998
5545174.2525	7421966.3319	179.57569999999998
5545174.0576	7421965.2652	177.6424116952
5545173.814	7421964.2191	176.6268793904
5545173.4849	7421963.2053	175.93883599999998
5545173.0703	7421962.2233	175.6036126096
5545172.6116	7421961.24	175.49363599999998
5545172.152	7421960.2577	175.7047436952
5545171.7135	7421959.2412	175.9820126096
5545171.2201	7421958.2205	176.20270769520002
5545170.8016	7421957.1649	176.4063307808
5545170.3282	7421956.095	176.25342830480002
5545169.999	7421954.9956	175.7504153904
5545169.671	7421953.9308	175.3864486096
5545169.4744	7421952.83	174.915164
5545169.2679	7421951.7661	173.93755139040002
5545169.1436	7421950.6369	172.0008798096
5545168.9864	7421949.5103	170.792828724
5545168.9817	7421948.3535	170.8366332192
5545169.0308	7421947.2854	170.4251563048
5545169.2368	7421946.3145	169.8549283048
5545169.5637	7421945.4493	169.86267413360002
5545169.9414	7421944.6295	169.6017846096
5545170.42	7421943.8371	169.1103563048
5545170.7853	7421942.9127	168.6175741336
5545171.2348	7421942.0657	167.7606923048
5545171.6688	7421941.181	167.01952552400002
5545172.0912	7421940.279	166.8504409144
5545172.5367	7421939.3793	167.26402060959998
5545172.9458	7421938.4288	167.7402563048
5545173.3416	7421937.4831	167.86682830479998
5545173.742	7421936.5163	167.88356921919998
5545174.0343	7421935.5208	167.8091101336
5545174.3718	7421934.5302	167.7396101336
5545174.5092	7421933.4799	167.65381013360002
5545174.68	7421932.4296	167.5999563048
5545174.7492	7421931.3645	167.64977413359998
5545174.8195	7421930.2666	167.69994860960003
5545174.8592	7421929.1932	167.6794
5545174.8603	7421928.0612	167.64617691439997
5545174.9205	7421926.9942	167.5454381336
5545174.9274	7421925.8745	167.40597691440001
5545174.9454	7421924.8034	167.1406049144
5545174.996	7421923.7371	166.99344860960002
5545174.9286	7421922.6962	167.043164
5545174.9133	7421921.5936	167.0880818288
5545174.7503	7421920.5182	167.08178182880002
5545174.5368	7421919.4593	167.0651972192
5545174.1528	7421918.4724	167.0169769144
5545173.7272	7421917.5027	166.93412830480003
5545173.2263	7421916.5744	166.8272049144
5545172.698	7421915.6298	166.5514332192
5545172.1445	7421914.714	166.39334582880002
5545171.5437	7421913.7804	166.15979721920002
5545170.9644	7421912.846	166.35442552400002
5545170.39	7421911.8562	166.549889524
5545169.7672	7421910.8638	166.6814563048
5545169.2585	7421909.7967	166.8191563048
5545168.8166	7421908.6771	166.91545630480002
5545168.5442	7421907.5693	166.9008
5545168.3128	7421906.4281	166.88062552399998
5545168.2579	7421905.2701	166.8533458288
5545168.3135	7421904.208	166.8101206096
5545168.4657	7421903.1447	166.8066178288
5545168.6819	7421902.2125	166.9126
5545168.9192	7421901.2836	167.000189524
5545169.2906	7421900.3876	167.1274126096
5545169.689	7421899.4851	167.2246409144
5545170.1884	7421898.7814	167.4271206096
5545170.7195	7421898.0802	167.69093813359999
5545171.3896	7421897.4431	168.00513321920002
5545172.01	7421896.9214	168.348061524
5545172.7682	7421896.5105	168.2732126096
5545173.5005	7421896.1169	168.49142552400002
5545174.237	7421895.9791	168.52804582879997
5545174.9937	7421895.7843	168.4502923048
5545175.7601	7421895.8006	168.48092552399999
5545176.5122	7421895.8214	168.4910126096
5545177.3514	7421895.922	168.63117413359998
5545178.1802	7421896.0179	168.79431260959998
5545179.1288	7421895.9449	169.040953524
5545180.0416	7421895.9149	169.2265381336
